A      1ALIMENTARY TRACT AND METABOLISM                                                                               
A05AA  4BILE ACIDS AND DERIVATIVES                                                                                    
A05AB  4PREPARATIONS FOR BILIARY TRACT THERAPY                                                                        
A05AW  4HERBAL CHOLAGOGUES AND CHOLERETICS                                                                            
A05AX  4OTHER DRUGS FOR BILE THERAPY                                                                                  
A05B   3LIVER THERAPY, LIPOTROPICS                                                                                    
A05BA  4LIVER THERAPY                                                                                                 
A05C   3DRUGS FOR BILE THERAPY AND LIPOTROPICS IN COMBINATION                                                         
A06    2DRUGS FOR CONSTIPATION                                                                                        
A06A   3DRUGS FOR CONSTIPATION                                                                                        
A06AA  4SOFTENERS, EMOLLIENTS                                                                                         
A06AB  4CONTACT LAXATIVES                                                                                             
A06AC  4BULK-FORMING LAXATIVES                                                                                        
A06AD  4OSMOTICALLY ACTING LAXATIVES                                                                                  
A06AG  4ENEMAS                                                                                                        
A06AH  4PERIPHERAL OPIOID RECEPTOR ANTAGONISTS                                                                        
A06AX  4OTHER DRUGS FOR CONSTIPATION                                                                                  
A07    2ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS                                              
A07A   3INTESTINAL ANTIINFECTIVES                                                                                     
A07AA  4ANTIBIOTICS                                                                                                   
A07AB  4SULFONAMIDES                                                                                                  
A07AC  4IMIDAZOLE DERIVATIVES                                                                                         
A07AX  4OTHER INTESTINAL ANTIINFECTIVES                                                                               
A07B   3INTESTINAL ADSORBENTS                                                                                         
A07BA  4CHARCOAL PREPARATIONS                                                                                         
A07BB  4BISMUTH PREPARATIONS                                                                                          
A07BC  4OTHER INTESTINAL ADSORBENTS                                                                                   
A07BW  4HERBAL INTESTINAL ADSORBENTS                                                                                  
A07C   3ELECTROLYTES WITH CARBOHYDRATES                                                                               
A07CA  4ORAL REHYDRATION SALT FORMULATIONS                                                                            
A07D   3ANTIPROPULSIVES                                                                                               
A07DA  4ANTIPROPULSIVES                                                                                               
A07E   3INTESTINAL ANTIINFLAMMATORY AGENTS                                                                            
A07EA  4CORTICOSTEROIDS ACTING LOCALLY                                                                                
A07EB  4ANTIALLERGIC AGENTS, EXCL. CORTICOSTEROIDS                                                                    
A07EC  4AMINOSALICYLIC ACID AND SIMILAR AGENTS                                                                        
A07F   3ANTIDIARRHEAL MICROORGANISMS                                                                                  
A07FA  4ANTIDIARRHEAL MICROORGANISMS                                                                                  
A07X   3OTHER ANTIDIARRHEALS                                                                                          
A07XA  4OTHER ANTIDIARRHEALS                                                                                          
A08    2ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS                                                                 
A08A   3ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS                                                                 
A08AA  4CENTRALLY ACTING ANTIOBESITY PRODUCTS                                                                         
A08AB  4PERIPHERALLY ACTING ANTIOBESITY PRODUCTS                                                                      
A08AW  4HERBAL ANTIOBESITY PREPARATIONS                                                                               
A08AX  4OTHER ANTIOBESITY DRUGS                                                                                       
A09    2DIGESTIVES, INCL. ENZYMES                                                                                     
A09A   3DIGESTIVES, INCL. ENZYMES                                                                                     
A09AA  4ENZYME PREPARATIONS                                                                                           
A09AB  4ACID PREPARATIONS                                                                                             
A09AC  4ENZYME AND ACID PREPARATIONS, COMBINATIONS                                                                    
A09W   3HERBAL DIGESTIVES                                                                                             
A09WA  4HERBAL DIGESTIVES, AMARA                                                                                      
A09WX  4HERBAL DIGESTIVES, OTHER                                                                                      
A10    2DRUGS USED IN DIABETES                                                                                        
A10A   3INSULINS AND ANALOGUES                                                                                        
A10AB  4INSULINS AND ANALOGUES FOR INJECTION, FAST-ACTING                                                             
A10AC  4INSULINS AND ANALOGUES FOR INJECTION, INTERMEDIATE-ACTING                                                     
A10AD  4INSULINS AND ANALOGUES FOR INJECTION, INTERMEDIATE- OR LONG-ACTING COMBINED WITH FAST-ACTING                  
A10AE  4INSULINS AND ANALOGUES FOR INJECTION, LONG-ACTING                                                             
A10AF  4INSULINS AND ANALOGUES FOR INHALATION                                                                         
A10B   3BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS                                                                  
A10BA  4BIGUANIDES                                                                                                    
A10BB  4SULFONYLUREAS                                                                                                 
A10BC  4SULFONAMIDES (HETEROCYCLIC)                                                                                   
A10BD  4COMBINATIONS OF ORAL BLOOD GLUCOSE LOWERING DRUGS                                                             
A10BF  4ALPHA GLUCOSIDASE INHIBITORS                                                                                  
A10BG  4THIAZOLIDINEDIONES                                                                                            
A10BH  4DIPEPTIDYL PEPTIDASE 4 (DPP-4) INHIBITORS                                                                     
A10BJ  4GLUCAGON-LIKE PEPTIDE-1 (GLP-1) ANALOGUES                                                                     
A10BK  4SODIUM-GLUCOSE CO-TRANSPORTER 2 (SGLT2) INHIBITORS                                                            
A10BX  4OTHER BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS                                                            
A10X   3OTHER DRUGS USED IN DIABETES                                                                                  
A10XA  4ALDOSE REDUCTASE INHIBITORS                                                                                   
A10XX  4OTHER DRUGS USED IN DIABETES                                                                                  
A11    2VITAMINS                                                                                                      
A11A   3MULTIVITAMINS, COMBINATIONS                                                                                   
A11AA  4MULTIVITAMINS WITH MINERALS                                                                                   
A11AB  4MULTIVITAMINS, OTHER COMBINATIONS                                                                             
A11B   3MULTIVITAMINS, PLAIN                                                                                          
A11BA  4MULTIVITAMINS, PLAIN                                                                                          
A11C   3VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO                                                                
A11CA  4VITAMIN A, PLAIN                                                                                              
A11CB  4VITAMIN A AND D IN COMBINATION                                                                                
A11CC  4VITAMIN D AND ANALOGUES                                                                                       
A11D   3VITAMIN B1, PLAIN AND IN COMBINATION WITH VITAMIN B6 AND B12                                                  
A11DA  4VITAMIN B1, PLAIN                                                                                             
A11DB  4VITAMIN B1 IN COMBINATION WITH VITAMIN B6 AND/OR VITAMIN B12                                                  
A11E   3VITAMIN B-COMPLEX, INCL. COMBINATIONS                                                                         
A11EA  4VITAMIN B-COMPLEX, PLAIN                                                                                      
A11EB  4VITAMIN B-COMPLEX WITH VITAMIN C                                                                              
A11EC  4VITAMIN B-COMPLEX WITH MINERALS                                                                               
A11ED  4VITAMIN B-COMPLEX WITH ANABOLIC STEROIDS                                                                      
A11EX  4VITAMIN B-COMPLEX, OTHER COMBINATIONS                                                                         
A11G   3ASCORBIC ACID (VITAMIN C), INCL. COMBINATIONS                                                                 
